city,date,hour,temperature_c,pressure_mm,is_rainy,condition
Novosibirsk,2024-02-03,13,-10,755,1,light-snow
Novosibirsk,2024-02-03,14,-10,754,1,light-snow
Novosibirsk,2024-02-03,15,-10,754,1,light-snow
Novosibirsk,2024-02-03,16,-10,754,1,light-snow
Novosibirsk,2024-02-03,17,-10,752,1,light-snow
Novosibirsk,2024-02-03,18,-10,752,1,light-snow
Novosibirsk,2024-02-03,19,-10,753,1,light-snow
Novosibirsk,2024-02-03,20,-10,751,1,light-snow
Novosibirsk,2024-02-03,21,-9,751,1,light-snow
Novosibirsk,2024-02-03,22,-9,751,1,light-snow
Novosibirsk,2024-02-03,23,-9,750,1,light-snow
Novosibirsk,2024-02-04,0,-9,749,1,light-snow
Novosibirsk,2024-02-04,1,-9,750,1,light-snow
Novosibirsk,2024-02-04,2,-9,749,1,light-snow
Novosibirsk,2024-02-04,3,-9,749,1,light-snow
Novosibirsk,2024-02-04,4,-9,749,1,light-snow
Novosibirsk,2024-02-04,5,-9,748,1,light-snow
Novosibirsk,2024-02-04,6,-9,748,1,light-snow
Novosibirsk,2024-02-04,7,-9,749,1,light-snow
Novosibirsk,2024-02-04,8,-9,748,1,light-snow
Novosibirsk,2024-02-04,9,-9,748,1,light-snow
Novosibirsk,2024-02-04,10,-8,749,1,light-snow
Novosibirsk,2024-02-04,11,-8,748,1,light-snow
Novosibirsk,2024-02-04,12,-7,748,1,light-snow
Novosibirsk,2024-02-04,13,-6,749,1,light-snow
Novosibirsk,2024-02-04,14,-6,748,1,light-snow
Novosibirsk,2024-02-04,15,-6,748,1,light-snow
Novosibirsk,2024-02-04,16,-5,749,1,light-snow
Novosibirsk,2024-02-04,17,-5,748,1,light-snow
Novosibirsk,2024-02-04,18,-5,748,1,light-snow
Novosibirsk,2024-02-04,19,-6,753,1,light-snow
